#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 10:03:51 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
28.970	491	28.996	445
29.021	484	29.046	414
29.072	474	29.097	388
29.123	458	29.148	366
29.173	441	29.199	350
29.224	421	29.249	342
29.275	401	29.300	340
29.326	380	29.350	346
29.376	361	29.402	359
29.427	343	29.452	377
29.477	328	29.503	402
29.529	318	29.553	429
29.579	312	29.604	460
29.630	311	29.655	492
29.680	314	29.706	523
29.731	321	29.756	552
29.781	335	29.807	575
29.833	351	29.857	594
29.883	370	29.908	607
29.934	391	29.959	615
29.984	413	30.010	614
30.035	435	30.060	607
30.086	455	30.111	593
30.137	473	30.161	574
30.187	487	30.213	549
30.238	498	30.263	521
30.288	502	30.314	491
30.340	503	30.364	461
30.390	497	30.415	433
30.441	487	30.466	406
30.491	473	30.517	384
30.542	455	30.567	367
30.592	434	30.618	356
30.644	412	30.668	352
30.694	388	30.719	353
30.745	367	30.770	362
30.795	346	30.821	377
30.846	328	30.871	397
30.897	314	30.922	421
30.948	305	30.972	450
30.998	301	31.024	477
31.049	303	31.074	506
31.099	309	31.125	533
31.151	321	31.175	558
31.201	336	31.226	577
31.252	356	31.277	591
31.302	379	31.328	601
31.353	403	31.378	604
31.404	427	31.429	599
31.455	450	31.479	590
31.505	471	31.530	574
31.556	488	31.581	554
31.606	501	31.632	530
31.657	509	31.682	503
31.708	512	31.733	475
31.759	510	31.783	449
31.809	500	31.835	424
31.860	486	31.885	402
31.910	470	31.936	385
31.962	448	31.986	371
32.012	425	32.037	365
32.063	399	32.088	364
32.113	374	32.139	370
32.164	350	32.190	380
32.215	331	32.240	397
32.266	313	32.291	417
32.316	301	32.341	441
32.367	294	32.393	466
32.417	293	32.443	491
32.468	297	32.494	517
32.519	309	32.544	540
32.570	322	32.595	560
32.620	342	32.646	575
32.671	366	32.697	585
32.721	391	32.747	591
32.773	416	32.798	590
32.823	441	32.848	583
32.874	465	32.900	571
32.924	486	32.950	555
32.975	502	33.001	534
33.026	512	33.051	512
33.077	518	33.102	487
33.127	519	33.152	464
33.178	512	33.204	439
33.228	502	33.254	419
33.279	483	33.305	401
33.330	462	33.355	388
33.381	438	33.406	379
33.431	413	33.457	376
33.482	385	33.508	379
33.532	359	33.558	387
33.584	336	33.609	400
33.634	316	33.659	415
33.685	301	33.711	436
33.735	290	33.761	457
33.786	286	33.812	481
33.837	287	33.862	503
33.888	295	33.913	524
33.938	310	33.964	542
33.989	329	34.015	558
34.039	351	34.065	569
34.090	377	34.116	576
34.141	403	34.166	578
34.192	431	34.217	574
34.242	458	34.268	566
34.293	480	34.319	553
34.343	499	34.369	536
34.395	514	34.420	518
34.445	524	34.470	496
34.496	526	34.522	474
34.546	521	34.572	454
34.597	511	34.623	434
34.648	497	34.673	418
34.699	476	34.724	404
34.749	453	34.775	395
34.800	426	34.826	391
34.850	397	34.876	390
34.901	370	34.927	396
34.952	343	34.977	405
35.003	321	35.028	418
