#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 10:03:51 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
31.808	424	31.834	450
31.860	418	31.885	450
31.910	413	31.935	451
31.961	409	31.987	451
32.011	405	32.037	450
32.062	405	32.088	450
32.112	406	32.138	449
32.164	409	32.189	450
32.214	412	32.239	450
32.265	418	32.291	450
32.315	424	32.341	451
32.366	431	32.392	450
32.417	438	32.442	450
32.468	446	32.493	450
32.518	453	32.544	450
32.569	457	32.595	451
32.619	463	32.645	451
32.671	467	32.696	450
32.721	469	32.746	450
32.772	469	32.798	450
32.822	469	32.848	451
32.873	465	32.899	451
32.923	462	32.949	450
32.975	457	33.000	450
33.025	452	33.050	450
33.076	445	33.102	450
33.126	438	33.152	450
33.177	431	33.203	450
33.228	424	33.253	450
33.279	420	33.304	450
33.329	415	33.355	451
33.380	412	33.406	450
33.430	409	33.456	450
33.482	410	33.507	450
33.532	410	33.557	450
33.583	413	33.609	449
33.633	416	33.659	450
33.684	421	33.710	451
33.734	426	33.760	450
33.786	432	33.811	449
33.836	439	33.861	450
33.887	446	33.913	450
33.937	451	33.963	450
33.988	456	34.014	450
34.040	462	34.064	450
34.090	464	34.115	450
34.141	467	34.166	451
34.191	465	34.217	451
34.242	465	34.267	451
34.293	463	34.318	450
34.344	459	34.368	450
34.394	454	34.420	451
34.445	448	34.470	450
34.495	443	34.521	451
34.547	436	34.571	450
34.597	433	34.622	449
34.648	424	34.672	450
34.698	422	34.724	450
34.749	417	34.774	449
34.799	415	34.825	450
34.851	413	34.875	450
34.901	414	34.926	450
34.952	414	34.977	451
35.002	417	35.028	451
35.053	419	35.078	450
35.104	424	35.129	450
35.155	430	35.179	451
35.205	434	35.231	450
35.256	440	35.281	450
35.306	444	35.332	451
35.358	451	35.382	450
35.408	454	35.433	450
35.459	459	35.483	450
35.509	460	35.535	450
35.560	462	35.585	450
35.610	462	35.636	450
35.662	461	35.686	450
35.712	459	35.737	451
35.763	455	35.788	450
35.813	451	35.839	450
35.864	446	35.889	450
35.915	441	35.940	451
35.966	436	35.990	449
36.016	432	36.042	450
36.067	426	36.092	450
36.117	423	36.143	450
36.169	419	36.193	450
36.219	419	36.244	450
36.270	417	36.294	450
36.320	417	36.346	451
36.371	419	36.396	451
36.421	420	36.447	451
