#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 10:03:51 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
30.491	482	30.516	399
30.541	512	30.566	365
30.592	538	30.618	337
30.642	553	30.668	317
30.693	561	30.719	307
30.744	562	30.769	305
30.795	553	30.820	311
30.845	536	30.871	327
30.896	512	30.922	350
30.946	481	30.972	381
30.998	447	31.023	417
31.048	410	31.073	454
31.099	371	31.125	495
31.149	336	31.175	534
31.200	303	31.226	570
31.250	276	31.276	601
31.302	255	31.327	625
31.352	243	31.377	640
31.403	239	31.429	648
31.453	242	31.479	648
31.504	256	31.530	636
31.555	277	31.580	616
31.606	305	31.631	590
31.656	337	31.682	557
31.707	374	31.733	521
31.757	410	31.783	480
31.809	448	31.834	441
31.859	482	31.884	404
31.910	513	31.936	370
31.960	536	31.986	344
32.011	552	32.037	324
32.061	560	32.087	313
32.113	560	32.138	310
32.163	552	32.188	316
32.214	534	32.240	330
32.264	510	32.290	352
32.315	480	32.341	381
32.366	447	32.391	414
32.417	409	32.442	453
32.467	372	32.493	491
32.518	336	32.544	530
32.568	304	32.594	566
32.620	277	32.645	597
32.670	257	32.695	619
32.721	245	32.747	635
32.771	239	32.797	641
32.822	244	32.848	642
32.872	256	32.898	632
32.924	277	32.949	613
32.974	304	32.999	586
33.025	336	33.051	555
33.075	372	33.101	519
33.126	410	33.152	481
33.177	446	33.202	444
33.228	481	33.253	407
33.279	512	33.304	377
33.329	535	33.355	349
33.380	552	33.405	330
33.431	560	33.456	319
33.482	560	33.506	316
33.532	551	33.558	322
33.583	535	33.608	336
33.633	511	33.659	356
33.685	481	33.709	384
33.735	446	33.760	416
33.786	410	33.810	451
33.836	373	33.862	489
33.887	337	33.912	525
33.937	306	33.963	560
33.989	278	34.013	590
34.039	257	34.064	614
34.090	246	34.115	628
34.140	242	34.166	635
34.191	245	34.216	637
34.242	257	34.267	626
34.293	277	34.317	609
34.343	304	34.369	585
34.394	337	34.419	555
34.444	372	34.470	520
34.496	409	34.520	483
34.546	446	34.571	446
34.597	480	34.621	412
34.647	510	34.673	380
34.698	533	34.723	356
34.748	550	34.774	336
34.800	559	34.824	325
34.850	560	34.875	321
34.901	551	34.926	326
34.951	535	34.977	339
35.002	512	35.027	359
35.053	481	35.078	386
35.104	448	35.128	418
35.154	411	35.180	451
