#Creator: pendulumEventBuffer
#Creation time: Mon Mar 21 09:33:57 2022
#Time	Period	Transit time
#[s]	[s]	[s]
668.866526	2.126803	0.090156
669.929940	2.126808	0.090348
670.993334	2.126762	0.090564
672.056702	2.126795	0.090832
673.120129	2.126741	0.091042
674.183443	2.126543	0.091214
675.246672	2.126727	0.091444
676.310170	2.126859	0.091668
677.373531	2.126715	0.091914
678.436885	2.126670	0.092114
679.500201	2.126635	0.092294
680.563520	2.126741	0.092492
681.626942	2.126754	0.092688
682.690274	2.126632	0.092924
683.753574	2.126641	0.093168
684.816915	2.126710	0.093390
685.880284	2.126679	0.093584
686.943594	2.126645	0.093800
688.006929	2.126646	0.094038
689.070240	2.126660	0.094252
690.133589	2.126740	0.094458
691.196980	2.126705	0.094684
692.260294	2.126475	0.094928
693.323455	2.126413	0.095114
694.386707	2.126444	0.095414
695.449899	2.126652	0.095634
696.513359	2.126939	0.095918
697.576838	2.126885	0.096228
698.640244	2.126667	0.096304
699.703505	2.126544	0.096494
700.766788	2.126536	0.096752
701.830041	2.126581	0.096974
702.893369	2.126639	0.097170
703.956680	2.126634	0.097368
705.020003	2.126618	0.097626
706.083298	2.126510	0.097904
707.146513	2.126486	0.098122
708.209784	2.126618	0.098324
709.273131	2.126605	0.098538
710.336389	2.126602	0.098814
711.399733	2.126576	0.099066
712.462965	2.126493	0.099274
713.526226	2.126495	0.099520
714.589460	2.126522	0.099752
715.652748	2.126583	0.099960
716.716043	2.126538	0.100178
717.779286	2.126503	0.100360
718.842546	2.126540	0.100664
719.905826	2.126468	0.100956
720.969014	2.126518	0.101152
722.032344	2.126580	0.101360
723.095594	2.126531	0.101620
724.158875	2.126488	0.101874
725.222082	2.126451	0.102096
726.285326	2.126474	0.102408
727.348556	2.126450	0.102640
728.411776	2.126442	0.102816
729.474998	2.126683	0.103028
730.538459	2.126555	0.103262
731.601553	2.126269	0.103586
732.664728	2.126418	0.103856
733.727971	2.126351	0.104042
734.791079	2.126349	0.104366
735.854320	2.126522	0.104604
736.917601	2.126563	0.104830
737.980883	2.126505	0.105098
739.044106	2.126445	0.105288
740.107328	2.126412	0.105512
741.170518	2.126459	0.105740
742.233787	2.126417	0.106014
743.296935	2.126414	0.106298
744.360201	2.126405	0.106498
745.423340	2.126369	0.106736
746.486570	2.126519	0.106932
747.549859	2.126380	0.107186
748.612950	2.126358	0.107540
749.676217	2.126399	0.107830
750.739349	2.126365	0.108142
751.802582	2.126425	0.108392
752.865774	2.126416	0.108612
753.928998	2.126402	0.108868
754.992176	2.126396	0.109112
756.055394	2.126378	0.109372
757.118554	2.126320	0.109640
758.181714	2.126303	0.109944
759.244857	2.126336	0.110262
760.308050	2.126483	0.110464
761.371340	2.126495	0.110684
762.434545	2.126278	0.110946
763.497618	2.126267	0.111248
764.560812	2.126271	0.111500
765.623889	2.126297	0.111718
766.687109	2.126379	0.112038
767.750268	2.126305	0.112292
768.813414	2.126341	0.112500
769.876609	2.126338	0.112798
770.939752	2.126267	0.113060
772.002876	2.126333	0.113328
773.066085	2.126349	0.113590
774.129225	2.126293	0.113854
775.192378	2.126273	0.114168
776.255498	2.126296	0.114428
777.318674	2.126321	0.114744
778.381819	2.126270	0.115074
779.444944	2.126275	0.115320
780.508094	2.126300	0.115568
781.571244	2.126319	0.115868
782.634413	2.126306	0.116106
783.697550	2.126174	0.116336
784.760587	2.126170	0.116658
785.823720	2.126230	0.116884
786.886817	2.126102	0.117154
787.949822	2.126185	0.117524
789.013002	2.126439	0.117784
790.076261	2.126318	0.118098
791.139320	2.126170	0.118404
792.202431	2.126205	0.118638
